customer_name,invoice_id,invoice_date,due_date,payment_date,invoice_amount,credit_note_flag,dispute_flag
Orchid Pharma Limited,OPL-4401,2016-10-05,2016-11-04,2016-10-28,340000,N,No
Orchid Pharma Limited,OPL-4415,2016-10-18,2016-11-17,2016-11-10,210000,N,No
Orchid Pharma Limited,OPL-4432,2016-11-08,2016-12-08,2016-12-01,275000,N,No
Orchid Pharma Limited,OPL-4448,2016-11-22,2016-12-22,2016-12-15,190000,N,No
Orchid Pharma Limited,OPL-4461,2016-12-10,2017-01-09,2017-01-05,320000,N,No
Orchid Pharma Limited,OPL-4477,2016-12-25,2017-01-24,2017-01-20,260000,N,No
Orchid Pharma Limited,OPL-4490,2017-01-05,2017-02-04,2017-02-19,300000,N,No
Orchid Pharma Limited,OPL-4504,2017-01-20,2017-02-19,2017-03-12,245000,N,No
Orchid Pharma Limited,OPL-4519,2017-02-05,2017-03-07,2017-03-28,355000,N,No
Orchid Pharma Limited,OPL-4533,2017-02-22,2017-03-24,2017-04-17,280000,N,No
Orchid Pharma Limited,OPL-4550,2017-03-08,2017-04-07,2017-05-02,310000,N,No
Orchid Pharma Limited,OPL-4566,2017-03-25,2017-04-24,2017-05-20,265000,N,No
Neuland Laboratories,NL-2201,2016-10-08,2016-11-07,2016-11-05,180000,N,No
Neuland Laboratories,NL-2212,2016-10-24,2016-11-23,2016-11-22,150000,N,No
Neuland Laboratories,NL-2228,2016-11-10,2016-12-10,2016-12-10,165000,N,No
Neuland Laboratories,NL-2240,2016-11-27,2016-12-27,2016-12-26,175000,N,No
Neuland Laboratories,NL-2256,2016-12-12,2017-01-11,2017-01-10,190000,N,No
Neuland Laboratories,NL-2270,2016-12-28,2017-01-27,2017-01-28,160000,N,No
Neuland Laboratories,NL-2285,2017-01-09,2017-02-08,2017-02-07,200000,N,No
Neuland Laboratories,NL-2298,2017-01-24,2017-02-23,2017-02-24,155000,N,No
Neuland Laboratories,NL-2312,2017-02-11,2017-03-13,2017-03-14,210000,N,No
Neuland Laboratories,NL-2325,2017-02-27,2017-03-29,2017-03-25,170000,N,No
Neuland Laboratories,NL-2340,2017-03-09,2017-04-08,2017-04-08,195000,N,No
Neuland Laboratories,NL-2355,2017-03-26,2017-04-25,2017-04-26,180000,N,No
Ashoka Pharma Distributors,APD-01,2017-03-04,2017-04-03,2017-03-30,98000,N,No
Ashoka Pharma Distributors,APD-02,2017-03-19,2017-04-18,,115000,N,No
